strain	date	data_source	genbank_accession	sra_accessions
A/cattle/CA/24-037202-005-original/2024	2024-12-02	genbank	PQ831629	SRR31821056
A/cattle/CA/24-037202-006-original/2024	2024-12-02	genbank	PQ831637	SRR31821055
A/cattle/CA/24-037204-001-original/2024	2024-12-02	genbank	PQ831645	SRR31821054
A/cattle/CA/24-037206-001-original/2024	2024-12-04	genbank	PQ831653	SRR31821052
A/cattle/CA/24-037207-001-original/2024	2024-12-04	genbank	PQ831661	SRR31821051
A/cattle/CA/24-037207-002-original/2024	2024-12-04	genbank	PQ831669	SRR31821050
A/cattle/CA/24-037208-001-original/2024	2024-12-03	genbank	PQ831677	SRR31821049
A/cattle/CA/24-037209-001-original/2024	2024-12-04	genbank	PQ831685	SRR31821048
A/cattle/CA/24-037211-001-original/2024	2024-12-04	genbank	PQ831693	SRR31821047
A/cattle/CA/24-037215-001-original/2024	2024-12-04	genbank	PQ831701	SRR31821046
A/cattle/CA/24-037215-002-original/2024	2024-12-04	genbank	PQ831709	SRR31821045
A/cattle/CA/24-037215-003-original/2024	2024-12-04	genbank	PQ831717	SRR31821044
A/cattle/CA/24-037216-001-original/2024	2024-11-28	genbank	PQ831725	SRR31821043
A/cattle/CA/24-037216-002-original/2024	2024-11-28	genbank	PQ831733	SRR31821041
A/cattle/CA/24-037218-002-original/2024	2024-12-04	genbank	PQ831741	SRR31821136
A/cattle/CA/24-037218-003-original/2024	2024-12-04	genbank	PQ831749	SRR31821135
A/cattle/CA/24-037218-004-original/2024	2024-12-04	genbank	PQ831757	SRR31821134
A/cattle/CA/24-037320-001-original/2024	2024-12-06	genbank	PQ831765	SRR31821002
A/cattle/TX/24-037225-001-original/2024	2024-12-06	genbank	PQ832805	SRR31820906
A/cattle/TX/24-037225-002-original/2024	2024-12-06	genbank	PQ832813	SRR31820905
A/cattle/TX/24-037225-003-original/2024	2024-12-06	genbank	PQ832821	SRR31820808
A/cattle/TX/24-037225-004-original/2024	2024-12-06	genbank	PQ832829	SRR31820807
A/cattle/TX/24-037225-005-original/2024	2024-12-06	genbank	PQ832837	SRR31820806
A/cattle/TX/24-037225-006-original/2024	2024-12-06	genbank	PQ832845	SRR31820804
A/cattle/TX/24-037225-008-original/2024	2024-12-06	genbank	PQ832853	SRR31820803
A/cattle/TX/24-037225-009-original/2024	2024-12-06	genbank	PQ832861	SRR31820802
A/cattle/TX/24-037225-010-original/2024	2024-12-06	genbank	PQ832869	SRR31820801
A/cattle/TX/24-037225-011-original/2024	2024-12-06	genbank	PQ832877	SRR31820800
A/cattle/TX/24-037225-012-original/2024	2024-12-06	genbank	PQ832885	SRR31820799
A/cattle/TX/24-037225-015-original/2024	2024-12-06	genbank	PQ832893	SRR31820798
A/cattle/TX/24-037225-018-original/2024	2024-12-06	genbank	PQ832901	SRR31820797
A/cattle/TX/24-037225-020-original/2024	2024-12-06	genbank	PQ832909	SRR31820796
A/cattle/TX/24-037225-021-original/2024	2024-12-06	genbank	PQ832917	SRR31820795
A/cattle/TX/24-037225-022-original/2024	2024-12-06	genbank	PQ832925	SRR31821236
A/cattle/TX/24-037225-024-original/2024	2024-12-06	genbank	PQ832933	SRR31821235
A/cattle/TX/24-037225-025-original/2024	2024-12-06	genbank	PQ832941	SRR31821234
A/cattle/TX/24-037225-026-original/2024	2024-12-06	genbank	PQ832949	SRR31821233
A/cattle/TX/24-037225-027-original/2024	2024-12-06	genbank	PQ832957	SRR31821232
A/cattle/TX/24-037225-028-original/2024	2024-12-06	genbank	PQ832965	SRR31821231
A/cattle/TX/24-037225-029-original/2024	2024-12-06	genbank	PQ832973	SRR31821230
A/cattle/TX/24-037225-030-original/2024	2024-12-06	genbank	PQ832981	SRR31821229
A/cattle/TX/24-037225-031-original/2024	2024-12-06	genbank	PQ832989	SRR31821228
A/cattle/TX/24-037225-032-original/2024	2024-12-06	genbank	PQ832997	SRR31821227
A/cattle/TX/24-037225-033-original/2024	2024-12-06	genbank	PQ833005	SRR31821225
A/cattle/TX/24-037225-034-original/2024	2024-12-06	genbank	PQ833013	SRR31821224
A/cattle/TX/24-037225-035-original/2024	2024-12-06	genbank	PQ833021	SRR31821223
A/cattle/TX/24-037225-036-original/2024	2024-12-06	genbank	PQ833029	SRR31821222
A/cattle/TX/24-037225-037-original/2024	2024-12-06	genbank	PQ833037	SRR31821221
A/cattle/TX/24-037225-038-original/2024	2024-12-06	genbank	PQ833045	SRR31821032
A/cattle/TX/24-037225-039-original/2024	2024-12-06	genbank	PQ833053	SRR31821031
A/cattle/TX/24-037225-040-original/2024	2024-12-06	genbank	PQ833061	SRR31821030
A/cattle/TX/24-037225-041-original/2024	2024-12-06	genbank	PQ833069	SRR31821029
A/cattle/TX/24-037225-042-original/2024	2024-12-06	genbank	PQ833077	SRR31821028
A/cattle/TX/24-037225-043-original/2024	2024-12-06	genbank	PQ833085	SRR31821026
A/cattle/TX/24-037225-044-original/2024	2024-12-06	genbank	PQ833093	SRR31821025
A/cattle/TX/24-037225-045-original/2024	2024-12-06	genbank	PQ833101	SRR31821024
A/cattle/TX/24-037225-046-original/2024	2024-12-06	genbank	PQ833109	SRR31821023
A/cattle/TX/24-037225-047-original/2024	2024-12-06	genbank	PQ833117	SRR31821022
A/cattle/TX/24-037225-048-original/2024	2024-12-06	genbank	PQ833125	SRR31821021
A/cattle/TX/24-037225-049-original/2024	2024-12-06	genbank	PQ833133	SRR31821020
A/cattle/TX/24-037225-050-original/2024	2024-12-06	genbank	PQ833141	SRR31821019
A/cattle/TX/24-037225-052-original/2024	2024-12-06	genbank	PQ833149	SRR31821018
A/cattle/TX/24-037225-053-original/2024	2024-12-06	genbank	PQ833157	SRR31821017
A/cattle/TX/24-037225-054-original/2024	2024-12-06	genbank	PQ833165	SRR31821015
A/cattle/TX/24-037225-055-original/2024	2024-12-06	genbank	PQ833173	SRR31821014
A/cattle/TX/24-037225-056-original/2024	2024-12-06	genbank	PQ833181	SRR31821013
A/cattle/TX/24-037225-057-original/2024	2024-12-06	genbank	PQ833189	SRR31821012
A/cattle/TX/24-037225-058-original/2024	2024-12-06	genbank	PQ833197	SRR31821011
A/cattle/TX/24-037225-059-original/2024	2024-12-06	genbank	PQ833205	SRR31821010
A/cattle/TX/24-037225-060-original/2024	2024-12-06	genbank	PQ833213	SRR31821009
A/cattle/TX/24-037225-061-original/2024	2024-12-06	genbank	PQ833221	SRR31821008
A/cattle/UT/24-036342-001-original/2024	2024-12-04	genbank	PQ833229	SRR31820877
A/Cattle/USA/24-015975-015/2024	2024-04-30	sra-via-andersen-lab	?	SRR29455632
